# power spectrum of phi_prime/H0 (dimensionless)
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  3.298409e-01   2.783386e-13   5.099453e-05   1.994775e-14   504
  3.301835e-01   2.685686e-13   1.163281e-04   1.842863e-14   312
  3.307884e-01   3.510268e-13   1.676002e-04   2.316736e-14   576
  3.316189e-01   3.509573e-13   1.166339e-04   3.645635e-14   240
  3.321030e-01   2.340333e-13   1.178530e-04   1.236851e-14   552
  3.327882e-01   3.362831e-13   1.106612e-04   2.256919e-14   600
  3.337643e-01   2.663517e-13   1.351639e-04   1.563532e-14   600
  3.343511e-01   2.473426e-13   2.164544e-04   1.572889e-14   312
  3.349356e-01   3.442051e-13   1.885103e-04   2.299657e-14   480
  3.356656e-01   2.613011e-13   1.176123e-04   1.347907e-14   576
  3.363084e-01   3.282955e-13   1.893814e-04   2.401461e-14   408
  3.368787e-01   2.097800e-13   2.209222e-04   1.925788e-14   216
  3.376156e-01   2.694434e-13   1.692015e-04   1.354907e-14   516
  3.384050e-01   3.195493e-13   1.614354e-04   1.568108e-14   744
  3.392194e-01   3.199210e-13   1.078246e-04   1.888175e-14   462
  3.396796e-01   2.456703e-13   1.095881e-04   2.120618e-14   432
