# power spectrum of phi_prime/H0 (dimensionless)
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.676563e-01   6.439410e-13   1.798266e-09   7.670162e-14   96
  1.683024e-01   4.827207e-13   2.270407e-04   3.071755e-14   192
  1.690632e-01   3.912761e-13   2.877225e-09   3.017211e-14   120
  1.695296e-01   4.823387e-13   0.000000e+00   4.075847e-14   144
  1.704585e-01   4.509766e-13   0.000000e+00   6.868393e-14   48
  1.711188e-01   4.674981e-13   2.282974e-04   2.550712e-14   336
  1.718425e-01   5.216196e-13   0.000000e+00   7.123909e-14   48
  1.727590e-01   4.923797e-13   0.000000e+00   3.487265e-14   192
  1.732155e-01   3.607695e-13   0.000000e+00   3.900031e-14   48
  1.745129e-01   3.758750e-13   1.584683e-04   5.236316e-14   56
  1.751580e-01   5.185509e-13   2.035272e-04   2.668502e-14   336
  1.759292e-01   6.415648e-13   2.260561e-09   7.130070e-14   54
  1.766010e-01   4.953875e-13   2.235459e-04   3.545266e-14   240
  1.779956e-01   5.609280e-13   2.140470e-04   4.362510e-14   228
  1.786017e-01   4.185603e-13   2.397687e-09   4.826204e-14   72
  1.791900e-01   5.376904e-13   2.076308e-04   5.176818e-14   144
  1.799230e-01   4.859101e-13   0.000000e+00   5.658760e-14   96
  1.803613e-01   5.009138e-13   2.877225e-09   3.950534e-14   240
  1.812348e-01   3.261897e-13   2.543132e-09   8.723253e-14   24
  1.817939e-01   4.608983e-13   1.961057e-04   2.964078e-14   336
  1.825371e-01   3.765368e-13   0.000000e+00   4.870678e-14   72
  1.832154e-01   4.582597e-13   2.133012e-04   4.001340e-14   168
  1.838302e-01   6.476316e-13   0.000000e+00   7.612355e-14   72
  1.846872e-01   5.559877e-13   0.000000e+00   6.702809e-14   96
  1.853509e-01   3.123274e-13   2.117011e-04   2.300967e-14   216
  1.859653e-01   5.710219e-13   2.543132e-09   5.681609e-14   96
  1.868125e-01   6.183593e-13   0.000000e+00   4.720627e-14   192
  1.872347e-01   5.245370e-13   2.397687e-09   4.674987e-14   144
  1.880762e-01   4.566890e-13   0.000000e+00   7.548314e-14   48
  1.886588e-01   4.967797e-13   2.041047e-04   3.307832e-14   246
  1.894505e-01   5.170426e-13   1.881878e-04   5.470319e-14   168
  1.901637e-01   4.780349e-13   3.523866e-09   4.331163e-14   120
  1.905784e-01   3.598293e-13   0.000000e+00   2.459039e-14   240
  1.914053e-01   3.714601e-13   2.543132e-09   6.577961e-14   24
  1.920640e-01   4.652489e-13   2.014384e-04   2.522480e-14   360
  1.928845e-01   6.140618e-13   2.005812e-04   4.934084e-14   120
  1.934568e-01   4.223680e-13   0.000000e+00   3.053654e-14   144
  1.938645e-01   4.547489e-13   0.000000e+00   4.740140e-14   96
  1.950825e-01   4.686528e-13   0.000000e+00   4.248645e-14   144
  1.954868e-01   3.900583e-13   0.000000e+00   3.200442e-14   132
  1.960551e-01   4.404203e-13   1.979707e-04   3.737083e-14   176
  1.968799e-01   4.708881e-13   1.999105e-04   3.185385e-14   312
  1.978954e-01   4.062783e-13   0.000000e+00   4.021267e-14   96
  1.982940e-01   3.089779e-13   0.000000e+00   2.397034e-14   144
  1.989055e-01   4.182333e-13   1.979053e-04   2.844361e-14   312
  1.998804e-01   2.706908e-13   0.000000e+00   3.748330e-14   48
  2.002750e-01   4.772665e-13   2.543132e-09   3.167444e-14   192
  2.010619e-01   9.847082e-13   0.000000e+00   3.974276e-13   6
  2.015848e-01   3.878556e-13   1.845802e-04   3.186926e-14   288
  2.024316e-01   4.878551e-13   1.950210e-04   3.618021e-14   192
  2.030159e-01   4.800307e-13   4.521123e-09   3.388918e-14   216
  2.034045e-01   3.227740e-13   0.000000e+00   3.036478e-14   72
  2.043725e-01   4.449809e-13   1.931689e-04   5.065057e-14   192
  2.050154e-01   3.796300e-13   1.434383e-04   2.580119e-14   288
  2.057204e-01   2.456411e-13   0.000000e+00   4.870684e-14   24
  2.062650e-01   3.986061e-13   1.889681e-04   2.155264e-14   456
  2.072499e-01   4.789378e-13   0.000000e+00   1.027382e-13   48
  2.078585e-01   4.332553e-13   1.861260e-04   3.860734e-14   240
  2.085579e-01   4.105244e-13   1.881013e-04   2.915018e-14   216
  2.091461e-01   3.841141e-13   0.000000e+00   3.886998e-14   72
  2.095233e-01   4.545726e-13   6.498988e-09   3.426374e-14   168
  2.105882e-01   3.178781e-13   1.398129e-04   2.043033e-14   288
  2.111855e-01   4.086623e-13   1.849965e-04   5.045366e-14   168
  2.121448e-01   3.733591e-13   0.000000e+00   3.321742e-14   192
  2.125166e-01   3.245145e-13   2.397687e-09   2.631534e-14   144
  2.132584e-01   4.694165e-13   0.000000e+00   9.985946e-14   36
  2.138874e-01   4.718267e-13   1.689411e-04   3.577375e-14   342
  2.144889e-01   5.434407e-13   1.734820e-04   4.838330e-14   144
  2.152621e-01   4.667232e-13   1.819392e-04   3.138224e-14   384
  2.162000e-01   4.055796e-13   4.983500e-09   3.818954e-14   120
  2.166643e-01   4.799082e-13   1.622368e-04   3.477774e-14   264
  2.172929e-01   4.758923e-13   8.042088e-09   5.753734e-14   192
  2.178848e-01   3.367748e-13   1.748412e-04   2.606818e-14   152
  2.183802e-01   4.373294e-13   2.397687e-09   4.861883e-14   144
  2.194222e-01   2.886316e-13   1.131589e-04   2.002035e-14   216
  2.199045e-01   4.215462e-13   1.512105e-04   2.540791e-14   312
  2.207535e-01   4.413785e-13   1.752500e-04   3.155850e-14   240
  2.212538e-01   3.204485e-13   2.543132e-09   3.109449e-14   96
  2.222033e-01   2.543157e-13   1.675517e-04   2.818782e-14   144
  2.227885e-01   3.764773e-13   1.646885e-04   1.974981e-14   456
  2.237379e-01   2.790468e-13   0.000000e+00   2.730840e-14   120
  2.240905e-01   3.560652e-13   0.000000e+00   4.089921e-14   144
  2.247941e-01   2.477138e-13   0.000000e+00   6.569004e-14   24
  2.252452e-01   3.163973e-13   1.583038e-04   1.684667e-14   336
  2.260253e-01   4.008058e-13   1.745876e-04   3.857047e-14   198
  2.267563e-01   3.767415e-13   1.697764e-04   2.385365e-14   432
  2.275867e-01   8.109390e-13   0.000000e+00   1.355712e-13   48
  2.280199e-01   3.809957e-13   1.498832e-04   2.721544e-14   384
  2.287976e-01   3.123113e-13   1.725473e-04   3.532671e-14   144
  2.295024e-01   4.405295e-13   1.713168e-04   3.095345e-14   264
  2.303454e-01   2.533260e-13   2.543132e-09   2.784156e-14   48
  2.309110e-01   3.265171e-13   1.628943e-04   2.067629e-14   276
  2.314567e-01   3.702325e-13   1.476593e-04   3.373739e-14   192
  2.321860e-01   3.440134e-13   1.659366e-04   1.925396e-14   552
  2.330715e-01   4.611058e-13   2.877225e-09   4.911247e-14   120
  2.335978e-01   2.509974e-13   1.679687e-04   1.557314e-14   216
  2.340855e-01   3.147865e-13   4.069010e-09   2.741698e-14   120
  2.349569e-01   3.702437e-13   1.654080e-04   2.107403e-14   408
  2.357660e-01   2.536769e-13   3.596531e-09   4.742374e-14   24
  2.362678e-01   3.121516e-13   1.670919e-04   1.712551e-14   384
  2.369685e-01   2.409690e-13   1.632547e-04   1.595670e-14   240
  2.375770e-01   3.185134e-13   1.644502e-04   2.429275e-14   168
  2.384301e-01   3.696242e-13   0.000000e+00   3.570897e-14   120
  2.389801e-01   3.620940e-13   1.714308e-04   2.254869e-14   350
  2.398744e-01   3.693116e-13   2.822081e-04   1.920097e-14   384
  2.404088e-01   5.103346e-13   0.000000e+00   6.611472e-14   144
  2.413921e-01   3.299644e-13   0.000000e+00   2.620927e-14   288
  2.419055e-01   3.646453e-13   1.615394e-04   2.785688e-14   336
  2.426039e-01   2.721645e-13   1.470682e-04   2.181913e-14   168
  2.430220e-01   3.522772e-13   6.498988e-09   2.224745e-14   336
  2.438868e-01   2.908844e-13   1.526480e-04   2.110600e-14   288
  2.444062e-01   3.883291e-13   1.438335e-04   2.750921e-14   264
  2.452858e-01   2.798139e-13   0.000000e+00   2.039941e-14   240
  2.456075e-01   3.231420e-13   3.596531e-09   3.465163e-14   96
  2.467620e-01   3.187139e-13   1.956039e-04   1.896950e-14   360
  2.473008e-01   3.655528e-13   1.441936e-04   3.109746e-14   168
