# power spectrum of delta
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.579568e-01   3.316448e-01   2.543132e-09   4.581155e-02   96
  1.589534e-01   4.617959e-01   0.000000e+00   1.368939e-01   24
  1.594494e-01   3.901510e-01   0.000000e+00   2.852956e-02   192
  1.600334e-01   3.078874e-01   1.901066e-04   3.052392e-02   132
  1.609281e-01   2.611441e-01   0.000000e+00   2.496729e-02   96
  1.614180e-01   2.885580e-01   0.000000e+00   2.914119e-02   96
  1.619064e-01   3.277903e-01   2.034505e-09   3.251506e-02   120
  1.628788e-01   3.066877e-01   0.000000e+00   4.364832e-02   48
  1.636759e-01   3.814976e-01   2.303939e-04   2.684057e-02   222
  1.643266e-01   2.711587e-01   0.000000e+00   3.471666e-02   120
  1.648064e-01   2.596652e-01   3.114687e-09   5.436798e-02   24
  1.655050e-01   3.818886e-01   2.378000e-04   2.756904e-02   312
  1.670270e-01   4.292095e-01   2.229470e-04   4.862856e-02   72
  1.676563e-01   4.531198e-01   1.798266e-09   6.019550e-02   96
  1.683024e-01   3.586265e-01   2.270407e-04   3.234731e-02   192
  1.690632e-01   3.430260e-01   2.877225e-09   2.659381e-02   120
  1.695296e-01   3.985063e-01   0.000000e+00   3.809646e-02   144
  1.704585e-01   3.252665e-01   0.000000e+00   5.302972e-02   48
  1.711188e-01   3.567195e-01   2.282974e-04   2.066058e-02   336
  1.718425e-01   2.662991e-01   0.000000e+00   2.579374e-02   48
  1.727590e-01   3.657232e-01   0.000000e+00   3.338611e-02   192
  1.732155e-01   2.249149e-01   0.000000e+00   3.035707e-02   48
  1.745129e-01   2.958416e-01   1.584683e-04   3.494814e-02   56
  1.751580e-01   3.692814e-01   2.035272e-04   1.951497e-02   336
  1.759292e-01   4.244320e-01   2.260561e-09   6.218175e-02   54
  1.766010e-01   4.212554e-01   2.235459e-04   2.978504e-02   240
  1.779956e-01   3.065378e-01   2.140470e-04   1.861689e-02   228
  1.786017e-01   2.815903e-01   2.397687e-09   2.921132e-02   72
  1.791900e-01   3.965427e-01   2.076308e-04   3.824892e-02   144
  1.799230e-01   4.945347e-01   0.000000e+00   6.012687e-02   96
  1.803613e-01   3.428182e-01   2.877225e-09   2.526370e-02   240
  1.812348e-01   3.223844e-01   2.543132e-09   6.482121e-02   24
  1.817939e-01   3.991702e-01   1.961057e-04   2.425268e-02   336
  1.825371e-01   3.238980e-01   0.000000e+00   4.683871e-02   72
  1.832154e-01   3.976902e-01   2.133012e-04   3.149828e-02   168
  1.838302e-01   5.280199e-01   0.000000e+00   4.403910e-02   72
  1.846872e-01   3.993487e-01   0.000000e+00   4.245135e-02   96
  1.853509e-01   2.886382e-01   2.117011e-04   2.073097e-02   216
  1.859653e-01   3.906400e-01   2.543132e-09   3.876154e-02   96
  1.868125e-01   4.359783e-01   0.000000e+00   3.534062e-02   192
  1.872347e-01   4.260566e-01   2.397687e-09   3.365297e-02   144
  1.880762e-01   2.995749e-01   0.000000e+00   3.861283e-02   48
  1.886588e-01   4.173873e-01   2.041047e-04   3.068537e-02   246
  1.894505e-01   4.209997e-01   1.881878e-04   3.217878e-02   168
  1.901637e-01   4.153404e-01   3.523866e-09   4.247448e-02   120
  1.905784e-01   4.064185e-01   0.000000e+00   3.116712e-02   240
  1.914053e-01   4.809264e-01   2.543132e-09   6.119906e-02   24
  1.920640e-01   3.564080e-01   2.014384e-04   1.967022e-02   360
  1.928845e-01   4.518759e-01   2.005812e-04   4.247213e-02   120
  1.934568e-01   4.756305e-01   0.000000e+00   4.089575e-02   144
  1.938645e-01   5.641603e-01   0.000000e+00   5.963612e-02   96
  1.950825e-01   4.076969e-01   0.000000e+00   4.101030e-02   144
  1.954868e-01   4.317774e-01   0.000000e+00   3.467801e-02   132
  1.960551e-01   3.737804e-01   1.979707e-04   3.017914e-02   176
  1.968799e-01   3.510514e-01   1.999105e-04   2.183421e-02   312
  1.978954e-01   3.246030e-01   0.000000e+00   3.344157e-02   96
  1.982940e-01   3.857428e-01   0.000000e+00   3.393943e-02   144
  1.989055e-01   3.907466e-01   1.979053e-04   2.204230e-02   312
  1.998804e-01   1.925848e-01   0.000000e+00   2.365075e-02   48
  2.002750e-01   4.180554e-01   2.543132e-09   3.189698e-02   192
  2.010619e-01   7.197758e-01   0.000000e+00   1.313244e-01   6
  2.015848e-01   3.757543e-01   1.845802e-04   2.613652e-02   288
  2.024316e-01   3.614319e-01   1.950210e-04   2.604932e-02   192
  2.030159e-01   4.036099e-01   4.521123e-09   2.697814e-02   216
  2.034045e-01   4.073066e-01   0.000000e+00   5.452921e-02   72
  2.043725e-01   3.622003e-01   1.931689e-04   2.608116e-02   192
  2.050154e-01   4.056949e-01   1.434383e-04   2.522148e-02   288
  2.057204e-01   3.820010e-01   0.000000e+00   8.843424e-02   24
  2.062650e-01   3.612071e-01   1.889681e-04   1.979639e-02   456
  2.072499e-01   4.865214e-01   0.000000e+00   7.502653e-02   48
  2.078585e-01   4.123274e-01   1.861260e-04   2.685621e-02   240
  2.085579e-01   3.572977e-01   1.881013e-04   2.158941e-02   216
  2.091461e-01   4.861919e-01   0.000000e+00   5.440272e-02   72
  2.095233e-01   5.090011e-01   6.498988e-09   4.103488e-02   168
  2.105882e-01   3.916787e-01   1.398129e-04   2.537471e-02   288
  2.111855e-01   4.447286e-01   1.849965e-04   3.985276e-02   168
  2.121448e-01   3.242537e-01   0.000000e+00   3.056351e-02   192
  2.125166e-01   3.482856e-01   2.397687e-09   3.295777e-02   144
  2.132584e-01   5.703277e-01   0.000000e+00   7.387859e-02   36
  2.138874e-01   4.118005e-01   1.689411e-04   2.353970e-02   342
  2.144889e-01   4.729619e-01   1.734820e-04   4.166204e-02   144
  2.152621e-01   4.072895e-01   1.819392e-04   2.657287e-02   384
  2.162000e-01   3.750154e-01   4.983500e-09   3.785908e-02   120
  2.166643e-01   5.071585e-01   1.622368e-04   3.525501e-02   264
  2.172929e-01   3.986795e-01   8.042088e-09   3.427216e-02   192
  2.178848e-01   3.220328e-01   1.748412e-04   3.003882e-02   152
  2.183802e-01   4.782215e-01   2.397687e-09   5.107046e-02   144
  2.194222e-01   3.796340e-01   1.131589e-04   3.113389e-02   216
  2.199045e-01   4.281029e-01   1.512105e-04   2.691592e-02   312
  2.207535e-01   4.238181e-01   1.752500e-04   2.864078e-02   240
  2.212538e-01   3.272078e-01   2.543132e-09   3.784268e-02   96
  2.222033e-01   3.289970e-01   1.675517e-04   3.459140e-02   144
  2.227885e-01   3.125176e-01   1.646885e-04   1.571936e-02   456
  2.237379e-01   3.284628e-01   0.000000e+00   3.160329e-02   120
  2.240905e-01   4.282247e-01   0.000000e+00   4.478270e-02   144
  2.247941e-01   5.026384e-01   0.000000e+00   9.639627e-02   24
  2.252452e-01   3.596629e-01   1.583038e-04   2.077167e-02   336
  2.260253e-01   3.778785e-01   1.745876e-04   2.775990e-02   198
  2.267563e-01   3.890349e-01   1.697764e-04   2.269637e-02   432
  2.275867e-01   7.232404e-01   0.000000e+00   1.369368e-01   48
  2.280199e-01   4.202290e-01   1.498832e-04   2.624869e-02   384
  2.287976e-01   3.528469e-01   1.725473e-04   3.315043e-02   144
  2.295024e-01   4.693040e-01   1.713168e-04   3.485158e-02   264
  2.303454e-01   4.175878e-01   2.543132e-09   5.055000e-02   48
  2.309110e-01   3.911426e-01   1.628943e-04   2.703187e-02   276
  2.314567e-01   3.588165e-01   1.476593e-04   2.591352e-02   192
  2.321860e-01   3.741781e-01   1.659366e-04   1.675563e-02   552
  2.330715e-01   4.560270e-01   2.877225e-09   6.066518e-02   120
  2.335978e-01   3.672285e-01   1.679687e-04   2.684675e-02   216
  2.340855e-01   4.911139e-01   4.069010e-09   5.132751e-02   120
  2.349569e-01   4.273327e-01   1.654080e-04   2.059168e-02   408
  2.357660e-01   1.765390e-01   3.596531e-09   3.101273e-02   24
  2.362678e-01   4.213151e-01   1.670919e-04   2.243558e-02   384
  2.369685e-01   3.512394e-01   1.632547e-04   2.133501e-02   240
  2.375770e-01   3.930559e-01   1.644502e-04   2.383505e-02   168
  2.384301e-01   3.269466e-01   0.000000e+00   4.575368e-02   120
  2.389801e-01   3.657629e-01   1.714308e-04   2.149873e-02   350
  2.398744e-01   4.959384e-01   2.822081e-04   3.271132e-02   384
  2.404088e-01   4.650699e-01   0.000000e+00   4.851625e-02   144
  2.413921e-01   3.784357e-01   0.000000e+00   2.624130e-02   288
  2.419055e-01   4.366731e-01   1.615394e-04   2.751951e-02   336
  2.426039e-01   3.724032e-01   1.470682e-04   3.317635e-02   168
  2.430220e-01   4.651456e-01   6.498988e-09   2.965213e-02   336
  2.438868e-01   3.326935e-01   1.526480e-04   2.542123e-02   288
  2.444062e-01   4.548568e-01   1.438335e-04   3.652026e-02   264
  2.452858e-01   4.194877e-01   0.000000e+00   3.395191e-02   240
  2.456075e-01   3.552807e-01   3.596531e-09   3.607581e-02   96
  2.467620e-01   4.484497e-01   1.956039e-04   2.633202e-02   360
  2.473008e-01   5.054281e-01   1.441936e-04   5.702290e-02   168
  2.479816e-01   4.079311e-01   1.571860e-04   2.252707e-02   456
  2.488014e-01   4.618788e-01   3.196917e-09   5.423329e-02   108
  2.492626e-01   3.249590e-01   1.577159e-04   2.098123e-02   264
  2.498378e-01   3.399385e-01   1.407083e-04   2.154108e-02   264
  2.506256e-01   3.761237e-01   1.327788e-04   2.316648e-02   312
  2.516065e-01   3.914125e-01   9.866910e-05   2.635436e-02   270
  2.520176e-01   4.954703e-01   1.252729e-04   3.673223e-02   240
  2.527567e-01   4.248769e-01   1.549783e-04   2.884561e-02   384
  2.532054e-01   3.870583e-01   3.596531e-09   3.049970e-02   192
  2.540769e-01   4.304317e-01   1.243495e-04   2.889001e-02   240
  2.545825e-01   4.352235e-01   1.534673e-04   2.420408e-02   336
  2.555333e-01   4.160155e-01   1.544942e-04   1.965890e-02   480
  2.563047e-01   7.110712e-01   5.873111e-09   1.413470e-01   72
  2.567356e-01   4.472688e-01   1.506459e-04   2.969416e-02   240
  2.573216e-01   4.550253e-01   1.415865e-04   3.108553e-02   312
