# power spectrum of zeta (dimensionless)
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.614180e-01   2.829584e-12   0.000000e+00   2.877269e-13   96
  1.619064e-01   3.090082e-12   2.034505e-09   2.902113e-13   120
  1.628788e-01   3.010599e-12   0.000000e+00   4.131040e-13   48
  1.636759e-01   3.686393e-12   2.303939e-04   2.331847e-13   222
  1.643266e-01   2.464741e-12   0.000000e+00   2.662218e-13   120
  1.648064e-01   2.178882e-12   3.114687e-09   4.540820e-13   24
  1.655050e-01   3.486004e-12   2.378000e-04   2.283886e-13   312
  1.670270e-01   3.883911e-12   2.229470e-04   4.077039e-13   72
  1.676563e-01   3.813784e-12   1.798266e-09   4.560558e-13   96
  1.683024e-01   3.008495e-12   2.270407e-04   2.531773e-13   192
  1.690632e-01   3.005640e-12   2.877225e-09   2.177170e-13   120
  1.695296e-01   3.364572e-12   0.000000e+00   2.862103e-13   144
  1.704585e-01   2.702470e-12   0.000000e+00   3.608073e-13   48
  1.711188e-01   2.904860e-12   2.282974e-04   1.579984e-13   336
  1.718425e-01   2.030521e-12   0.000000e+00   1.920335e-13   48
  1.727590e-01   2.782096e-12   0.000000e+00   2.411939e-13   192
  1.732155e-01   1.622568e-12   0.000000e+00   1.970546e-13   48
  1.745129e-01   2.125124e-12   1.584683e-04   2.141711e-13   56
  1.751580e-01   2.708636e-12   2.035272e-04   1.354885e-13   336
  1.759292e-01   2.877525e-12   2.260561e-09   3.673423e-13   54
  1.766010e-01   3.031528e-12   2.235459e-04   2.020061e-13   240
  1.779956e-01   2.120528e-12   2.140470e-04   1.201726e-13   228
  1.786017e-01   1.899890e-12   2.397687e-09   1.819708e-13   72
  1.791900e-01   2.669862e-12   2.076308e-04   2.323480e-13   144
  1.799230e-01   3.313411e-12   0.000000e+00   3.797765e-13   96
  1.803613e-01   2.279653e-12   2.877225e-09   1.489963e-13   240
  1.812348e-01   2.216782e-12   2.543132e-09   3.920936e-13   24
  1.817939e-01   2.593644e-12   1.961057e-04   1.483793e-13   336
  1.825371e-01   1.921698e-12   0.000000e+00   2.351594e-13   72
  1.832154e-01   2.570823e-12   2.133012e-04   1.891430e-13   168
  1.838302e-01   3.532324e-12   0.000000e+00   2.822186e-13   72
  1.846872e-01   2.556651e-12   0.000000e+00   2.343029e-13   96
  1.853509e-01   1.750309e-12   2.117011e-04   1.202500e-13   216
  1.859653e-01   2.263215e-12   2.543132e-09   2.456183e-13   96
  1.868125e-01   2.541479e-12   0.000000e+00   1.950373e-13   192
  1.872347e-01   2.625086e-12   2.397687e-09   1.922837e-13   144
  1.880762e-01   1.552997e-12   0.000000e+00   1.759603e-13   48
  1.886588e-01   2.359832e-12   2.041047e-04   1.643406e-13   246
  1.894505e-01   2.466669e-12   1.881878e-04   1.819032e-13   168
  1.901637e-01   2.427090e-12   3.523866e-09   2.508879e-13   120
  1.905784e-01   2.418942e-12   0.000000e+00   1.870776e-13   240
  1.914053e-01   2.987637e-12   2.543132e-09   3.983631e-13   24
  1.920640e-01   1.996359e-12   2.014384e-04   1.042288e-13   360
  1.928845e-01   2.601717e-12   2.005812e-04   2.375025e-13   120
  1.934568e-01   2.553656e-12   0.000000e+00   2.041202e-13   144
  1.938645e-01   3.275099e-12   0.000000e+00   3.285013e-13   96
  1.950825e-01   2.133704e-12   0.000000e+00   2.001663e-13   144
  1.954868e-01   2.240968e-12   0.000000e+00   1.690939e-13   132
  1.960551e-01   1.847192e-12   1.979707e-04   1.484104e-13   176
  1.968799e-01   1.758179e-12   1.999105e-04   9.371487e-14   312
  1.978954e-01   1.652709e-12   0.000000e+00   1.567000e-13   96
  1.982940e-01   1.870295e-12   0.000000e+00   1.470354e-13   144
  1.989055e-01   1.884104e-12   1.979053e-04   9.833606e-14   312
  1.998804e-01   9.299165e-13   0.000000e+00   1.042618e-13   48
  2.002750e-01   1.972907e-12   2.543132e-09   1.410074e-13   192
  2.010619e-01   3.351794e-12   0.000000e+00   5.339376e-13   6
  2.015848e-01   1.784269e-12   1.845802e-04   1.129708e-13   288
  2.024316e-01   1.697502e-12   1.950210e-04   1.041765e-13   192
  2.030159e-01   1.833030e-12   4.521123e-09   1.173999e-13   216
  2.034045e-01   1.987748e-12   0.000000e+00   2.331649e-13   72
  2.043725e-01   1.734306e-12   1.931689e-04   1.189096e-13   192
  2.050154e-01   1.842162e-12   1.434383e-04   1.084018e-13   288
  2.057204e-01   1.666938e-12   0.000000e+00   3.674637e-13   24
  2.062650e-01   1.536371e-12   1.889681e-04   8.042785e-14   456
  2.072499e-01   2.078746e-12   0.000000e+00   2.745482e-13   48
  2.078585e-01   1.803245e-12   1.861260e-04   1.046191e-13   240
  2.085579e-01   1.555804e-12   1.881013e-04   8.170824e-14   216
  2.091461e-01   2.147115e-12   0.000000e+00   2.014840e-13   72
  2.095233e-01   2.062056e-12   6.498988e-09   1.488390e-13   168
  2.105882e-01   1.582813e-12   1.398129e-04   9.810226e-14   288
  2.111855e-01   1.792622e-12   1.849965e-04   1.279023e-13   168
  2.121448e-01   1.294788e-12   0.000000e+00   1.158710e-13   192
  2.125166e-01   1.431264e-12   2.397687e-09   1.198576e-13   144
