# power spectrum of hij
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.121448e-01   3.576626e-23   0.000000e+00   1.817463e-24   192
  2.125166e-01   3.185600e-23   2.397687e-09   2.044554e-24   144
  2.132584e-01   4.234045e-23   0.000000e+00   6.209602e-24   36
  2.138874e-01   3.451175e-23   1.689411e-04   1.337445e-24   342
  2.144889e-01   3.391564e-23   1.734820e-04   2.493104e-24   144
  2.152621e-01   3.532387e-23   1.819392e-04   1.386425e-24   384
  2.162000e-01   3.549812e-23   4.983500e-09   2.559925e-24   120
  2.166643e-01   4.159343e-23   1.622368e-04   1.876457e-24   264
  2.172929e-01   3.304726e-23   8.042088e-09   1.688792e-24   192
  2.178848e-01   3.327718e-23   1.748412e-04   1.809131e-24   152
  2.183802e-01   3.410317e-23   2.397687e-09   2.047286e-24   144
  2.194222e-01   3.129070e-23   1.131589e-04   1.627104e-24   216
  2.199045e-01   3.078987e-23   1.512105e-04   1.328258e-24   312
  2.207535e-01   3.019701e-23   1.752500e-04   1.307547e-24   240
  2.212538e-01   2.710339e-23   2.543132e-09   1.936033e-24   96
  2.222033e-01   2.784306e-23   1.675517e-04   1.851143e-24   144
  2.227885e-01   2.789127e-23   1.646885e-04   9.689390e-25   456
  2.237379e-01   2.974795e-23   0.000000e+00   2.052616e-24   120
  2.240905e-01   3.111255e-23   0.000000e+00   1.734607e-24   144
  2.247941e-01   4.717860e-23   0.000000e+00   5.663736e-24   24
  2.252452e-01   2.353682e-23   1.583038e-04   1.030171e-24   336
  2.260253e-01   3.028691e-23   1.745876e-04   1.428726e-24   198
  2.267563e-01   2.958454e-23   1.697764e-04   1.075313e-24   432
  2.275867e-01   3.485824e-23   0.000000e+00   2.837432e-24   48
  2.280199e-01   2.921737e-23   1.498832e-04   1.034458e-24   384
  2.287976e-01   2.610454e-23   1.725473e-04   1.623418e-24   144
  2.295024e-01   2.671296e-23   1.713168e-04   1.153058e-24   264
  2.303454e-01   2.343457e-23   2.543132e-09   2.399997e-24   48
  2.309110e-01   2.639127e-23   1.628943e-04   1.232082e-24   276
  2.314567e-01   2.486630e-23   1.476593e-04   1.418470e-24   192
  2.321860e-01   2.486014e-23   1.659366e-04   7.019635e-25   552
  2.330715e-01   2.921449e-23   2.877225e-09   2.111406e-24   120
  2.335978e-01   2.011554e-23   1.679687e-04   8.981650e-25   216
  2.340855e-01   2.548202e-23   4.069010e-09   1.481344e-24   120
  2.349569e-01   2.446219e-23   1.654080e-04   8.851864e-25   408
  2.357660e-01   1.651075e-23   3.596531e-09   2.164908e-24   24
  2.362678e-01   2.445459e-23   1.670919e-04   8.627190e-25   384
  2.369685e-01   2.235275e-23   1.632547e-04   1.066316e-24   240
  2.375770e-01   2.285729e-23   1.644502e-04   1.239604e-24   168
  2.384301e-01   2.211383e-23   0.000000e+00   1.526887e-24   120
  2.389801e-01   2.188630e-23   1.714308e-04   9.852596e-25   350
  2.398744e-01   2.535409e-23   2.822081e-04   1.013056e-24   384
  2.404088e-01   2.347366e-23   0.000000e+00   1.793410e-24   144
  2.413921e-01   2.229953e-23   0.000000e+00   9.826967e-25   288
  2.419055e-01   2.122551e-23   1.615394e-04   7.993586e-25   336
  2.426039e-01   1.812112e-23   1.470682e-04   1.184056e-24   168
  2.430220e-01   2.261053e-23   6.498988e-09   9.181798e-25   336
  2.438868e-01   1.940955e-23   1.526480e-04   9.218831e-25   288
  2.444062e-01   2.228620e-23   1.438335e-04   1.013661e-24   264
  2.452858e-01   2.002309e-23   0.000000e+00   8.687611e-25   240
  2.456075e-01   1.755274e-23   3.596531e-09   1.452670e-24   96
  2.467620e-01   1.867879e-23   1.956039e-04   6.976582e-25   360
  2.473008e-01   1.929050e-23   1.441936e-04   8.911059e-25   168
  2.479816e-01   1.781356e-23   1.571860e-04   6.133561e-25   456
  2.488014e-01   1.805346e-23   3.196917e-09   1.249597e-24   108
  2.492626e-01   1.718764e-23   1.577159e-04   7.907327e-25   264
  2.498378e-01   1.687723e-23   1.407083e-04   9.566871e-25   264
  2.506256e-01   1.854377e-23   1.327788e-04   7.242420e-25   312
  2.516065e-01   1.676085e-23   9.866910e-05   6.995469e-25   270
  2.520176e-01   1.561431e-23   1.252729e-04   6.606321e-25   240
  2.527567e-01   1.765894e-23   1.549783e-04   6.696331e-25   384
  2.532054e-01   2.273124e-23   3.596531e-09   1.128853e-24   192
  2.540769e-01   1.895558e-23   1.243495e-04   9.908361e-25   240
  2.545825e-01   1.975865e-23   1.534673e-04   8.588372e-25   336
  2.555333e-01   1.678460e-23   1.544942e-04   5.639935e-25   480
  2.563047e-01   1.563978e-23   5.873111e-09   1.331550e-24   72
  2.567356e-01   1.695440e-23   1.506459e-04   7.863995e-25   240
  2.573216e-01   1.603857e-23   1.415865e-04   6.189002e-25   312
  2.579934e-01   1.483730e-23   1.530210e-04   6.848499e-25   240
  2.590086e-01   1.639356e-23   1.162564e-04   6.557923e-25   408
  2.594104e-01   1.673355e-23   1.064628e-04   6.241821e-25   336
  2.601958e-01   1.663057e-23   1.351816e-04   7.608194e-25   264
  2.605818e-01   1.300010e-23   0.000000e+00   8.353149e-25   144
  2.616557e-01   1.522283e-23   1.873697e-04   5.098147e-25   464
  2.622215e-01   1.485126e-23   1.489973e-04   9.646163e-25   168
  2.627801e-01   1.301626e-23   1.357041e-04   5.037793e-25   336
  2.637897e-01   1.569580e-23   1.425837e-04   6.426114e-25   414
  2.643588e-01   1.737064e-23   1.484211e-04   7.984240e-25   216
