# power spectrum of B
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.600334e-01   1.793519e-17   1.901066e-04   9.732216e-19   132
  1.609281e-01   2.191481e-17   0.000000e+00   1.640878e-18   96
  1.614180e-01   2.051166e-17   0.000000e+00   1.437268e-18   96
  1.619064e-01   1.632532e-17   2.034505e-09   1.136420e-18   120
  1.628788e-01   1.235714e-17   0.000000e+00   1.372003e-18   48
  1.636759e-01   2.269168e-17   2.303939e-04   1.176990e-18   222
  1.643266e-01   2.198957e-17   0.000000e+00   1.353901e-18   120
  1.648064e-01   2.150756e-17   3.114687e-09   3.883814e-18   24
  1.655050e-01   2.096202e-17   2.378000e-04   1.081604e-18   312
  1.670270e-01   1.895989e-17   2.229470e-04   1.760265e-18   72
  1.676563e-01   2.113788e-17   1.798266e-09   1.499483e-18   96
  1.683024e-01   1.729268e-17   2.270407e-04   1.008964e-18   192
  1.690632e-01   1.606274e-17   2.877225e-09   1.184921e-18   120
  1.695296e-01   2.031411e-17   0.000000e+00   1.066946e-18   144
  1.704585e-01   1.819994e-17   0.000000e+00   2.096600e-18   48
  1.711188e-01   1.682321e-17   2.282974e-04   7.257998e-19   336
  1.718425e-01   1.691396e-17   0.000000e+00   2.115825e-18   48
  1.727590e-01   1.699915e-17   0.000000e+00   1.104912e-18   192
  1.732155e-01   1.324828e-17   0.000000e+00   1.427220e-18   48
  1.745129e-01   1.617211e-17   1.584683e-04   1.414096e-18   56
  1.751580e-01   1.561647e-17   2.035272e-04   6.292848e-19   336
  1.759292e-01   1.483948e-17   2.260561e-09   1.320374e-18   54
  1.766010e-01   1.762077e-17   2.235459e-04   9.295831e-19   240
  1.779956e-01   1.657991e-17   2.140470e-04   9.853627e-19   228
  1.786017e-01   1.366019e-17   2.397687e-09   9.019277e-19   72
  1.791900e-01   1.889347e-17   2.076308e-04   1.288691e-18   144
  1.799230e-01   1.616440e-17   0.000000e+00   1.651209e-18   96
  1.803613e-01   1.522362e-17   2.877225e-09   7.354551e-19   240
  1.812348e-01   1.956401e-17   2.543132e-09   1.606682e-18   24
  1.817939e-01   1.375605e-17   1.961057e-04   6.256294e-19   336
  1.825371e-01   8.838110e-18   0.000000e+00   6.022954e-19   72
  1.832154e-01   1.709729e-17   2.133012e-04   1.171209e-18   168
  1.838302e-01   1.755915e-17   0.000000e+00   1.189418e-18   72
  1.846872e-01   1.852176e-17   0.000000e+00   1.326067e-18   96
  1.853509e-01   1.068280e-17   2.117011e-04   5.333037e-19   216
  1.859653e-01   1.124033e-17   2.543132e-09   6.367828e-19   96
  1.868125e-01   1.393661e-17   0.000000e+00   7.630618e-19   192
  1.872347e-01   1.438995e-17   2.397687e-09   8.135444e-19   144
  1.880762e-01   1.289716e-17   0.000000e+00   1.199965e-18   48
  1.886588e-01   1.344065e-17   2.041047e-04   6.449205e-19   246
  1.894505e-01   1.430640e-17   1.881878e-04   8.645284e-19   168
  1.901637e-01   1.293113e-17   3.523866e-09   1.217975e-18   120
  1.905784e-01   1.426379e-17   0.000000e+00   1.033062e-18   240
  1.914053e-01   1.478583e-17   2.543132e-09   2.690262e-18   24
  1.920640e-01   1.199139e-17   2.014384e-04   5.731809e-19   360
  1.928845e-01   1.621962e-17   2.005812e-04   1.089692e-18   120
  1.934568e-01   1.469641e-17   0.000000e+00   9.558347e-19   144
  1.938645e-01   1.357013e-17   0.000000e+00   1.186431e-18   96
  1.950825e-01   1.299841e-17   0.000000e+00   8.606806e-19   144
  1.954868e-01   1.347711e-17   0.000000e+00   7.941169e-19   132
  1.960551e-01   9.763708e-18   1.979707e-04   5.770951e-19   176
  1.968799e-01   1.032363e-17   1.999105e-04   4.618730e-19   312
  1.978954e-01   1.156290e-17   0.000000e+00   7.877220e-19   96
  1.982940e-01   8.300721e-18   0.000000e+00   4.283855e-19   144
  1.989055e-01   1.169834e-17   1.979053e-04   5.313658e-19   312
  1.998804e-01   9.912470e-18   0.000000e+00   9.282142e-19   48
  2.002750e-01   1.230200e-17   2.543132e-09   7.305207e-19   192
  2.010619e-01   2.574162e-17   0.000000e+00   3.859303e-18   6
  2.015848e-01   9.317291e-18   1.845802e-04   4.860245e-19   288
  2.024316e-01   1.237146e-17   1.950210e-04   7.644369e-19   192
  2.030159e-01   1.334452e-17   4.521123e-09   8.243528e-19   216
  2.034045e-01   1.251488e-17   0.000000e+00   1.018373e-18   72
  2.043725e-01   1.332116e-17   1.931689e-04   7.528133e-19   192
  2.050154e-01   1.013065e-17   1.434383e-04   5.666304e-19   288
  2.057204e-01   8.791945e-18   0.000000e+00   1.390917e-18   24
  2.062650e-01   8.934311e-18   1.889681e-04   3.487936e-19   456
  2.072499e-01   1.286633e-17   0.000000e+00   1.355239e-18   48
  2.078585e-01   9.633270e-18   1.861260e-04   5.263026e-19   240
  2.085579e-01   1.037129e-17   1.881013e-04   5.339936e-19   216
  2.091461e-01   1.048352e-17   0.000000e+00   8.787987e-19   72
  2.095233e-01   7.365276e-18   6.498988e-09   3.693516e-19   168
  2.105882e-01   8.657812e-18   1.398129e-04   4.000715e-19   288
  2.111855e-01   1.023891e-17   1.849965e-04   5.981368e-19   168
  2.121448e-01   7.964563e-18   0.000000e+00   4.417024e-19   192
  2.125166e-01   8.615037e-18   2.397687e-09   4.724375e-19   144
  2.132584e-01   1.266073e-17   0.000000e+00   1.213635e-18   36
  2.138874e-01   8.625645e-18   1.689411e-04   4.285033e-19   342
  2.144889e-01   8.739090e-18   1.734820e-04   5.135214e-19   144
  2.152621e-01   8.650277e-18   1.819392e-04   4.109840e-19   384
  2.162000e-01   6.937479e-18   4.983500e-09   4.611182e-19   120
  2.166643e-01   9.486110e-18   1.622368e-04   5.526512e-19   264
  2.172929e-01   8.600414e-18   8.042088e-09   5.573724e-19   192
  2.178848e-01   6.863421e-18   1.748412e-04   3.902346e-19   152
  2.183802e-01   9.295384e-18   2.397687e-09   8.211438e-19   144
  2.194222e-01   8.621244e-18   1.131589e-04   4.251460e-19   216
  2.199045e-01   9.131503e-18   1.512105e-04   4.520766e-19   312
  2.207535e-01   8.173598e-18   1.752500e-04   3.907978e-19   240
  2.212538e-01   7.057320e-18   2.543132e-09   4.380335e-19   96
  2.222033e-01   5.661883e-18   1.675517e-04   3.425462e-19   144
  2.227885e-01   8.122674e-18   1.646885e-04   3.369074e-19   456
  2.237379e-01   5.753196e-18   0.000000e+00   3.199816e-19   120
  2.240905e-01   7.509134e-18   0.000000e+00   6.362458e-19   144
  2.247941e-01   8.922829e-18   0.000000e+00   1.009903e-18   24
  2.252452e-01   5.849831e-18   1.583038e-04   2.532789e-19   336
  2.260253e-01   7.986494e-18   1.745876e-04   5.328286e-19   198
  2.267563e-01   7.175071e-18   1.697764e-04   3.544728e-19   432
  2.275867e-01   8.641151e-18   0.000000e+00   9.754928e-19   48
  2.280199e-01   7.651604e-18   1.498832e-04   3.347464e-19   384
  2.287976e-01   6.047597e-18   1.725473e-04   4.856047e-19   144
  2.295024e-01   9.354205e-18   1.713168e-04   5.342438e-19   264
  2.303454e-01   6.589916e-18   2.543132e-09   5.655865e-19   48
  2.309110e-01   7.473907e-18   1.628943e-04   4.449359e-19   276
  2.314567e-01   6.838707e-18   1.476593e-04   4.341873e-19   192
  2.321860e-01   6.822888e-18   1.659366e-04   2.695327e-19   552
  2.330715e-01   6.365915e-18   2.877225e-09   5.099340e-19   120
  2.335978e-01   4.871669e-18   1.679687e-04   2.267880e-19   216
  2.340855e-01   5.783933e-18   4.069010e-09   4.467637e-19   120
  2.349569e-01   6.856762e-18   1.654080e-04   3.817472e-19   408
  2.357660e-01   2.584316e-18   3.596531e-09   4.202986e-19   24
  2.362678e-01   5.736000e-18   1.670919e-04   2.268845e-19   384
  2.369685e-01   5.731465e-18   1.632547e-04   3.103205e-19   240
  2.375770e-01   6.186272e-18   1.644502e-04   3.925845e-19   168
  2.384301e-01   5.455749e-18   0.000000e+00   3.793467e-19   120
  2.389801e-01   6.846831e-18   1.714308e-04   3.416027e-19   350
  2.398744e-01   6.514909e-18   2.822081e-04   3.011905e-19   384
  2.404088e-01   7.442581e-18   0.000000e+00   6.996378e-19   144
  2.413921e-01   5.474120e-18   0.000000e+00   2.510905e-19   288
  2.419055e-01   6.711797e-18   1.615394e-04   3.477218e-19   336
  2.426039e-01   4.430748e-18   1.470682e-04   2.739548e-19   168
  2.430220e-01   5.736444e-18   6.498988e-09   2.815897e-19   336
  2.438868e-01   5.974203e-18   1.526480e-04   3.115830e-19   288
  2.444062e-01   6.530743e-18   1.438335e-04   3.250516e-19   264
  2.452858e-01   5.636751e-18   0.000000e+00   3.635660e-19   240
  2.456075e-01   5.444208e-18   3.596531e-09   4.713838e-19   96
  2.467620e-01   5.453655e-18   1.956039e-04   2.383407e-19   360
  2.473008e-01   6.080550e-18   1.441936e-04   4.023979e-19   168
  2.479816e-01   5.142744e-18   1.571860e-04   1.956769e-19   456
  2.488014e-01   5.069517e-18   3.196917e-09   3.786410e-19   108
  2.492626e-01   3.991697e-18   1.577159e-04   2.041978e-19   264
