# cross power spectrum of delta_m and  delta_kgb
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.718425e-01   8.943113e-03   0.000000e+00   8.390703e-04   48
  1.727590e-01   1.227833e-02   0.000000e+00   1.072546e-03   192
  1.732155e-01   7.559634e-03   0.000000e+00   9.784519e-04   48
  1.745129e-01   9.982461e-03   1.584683e-04   1.146010e-03   56
  1.751580e-01   1.236580e-02   2.035272e-04   6.258197e-04   336
  1.759292e-01   1.436964e-02   2.260561e-09   2.025098e-03   54
  1.766010e-01   1.412626e-02   2.235459e-04   9.596031e-04   240
  1.779956e-01   1.030635e-02   2.140470e-04   6.038395e-04   228
  1.786017e-01   9.425551e-03   2.397687e-09   9.410698e-04   72
  1.791900e-01   1.325885e-02   2.076308e-04   1.236179e-03   144
  1.799230e-01   1.665130e-02   0.000000e+00   1.943569e-03   96
  1.803613e-01   1.148986e-02   2.877225e-09   8.179714e-04   240
  1.812348e-01   1.068328e-02   2.543132e-09   2.055479e-03   24
  1.817939e-01   1.334913e-02   1.961057e-04   7.807658e-04   336
  1.825371e-01   1.083098e-02   0.000000e+00   1.514785e-03   72
  1.832154e-01   1.328713e-02   2.133012e-04   1.010740e-03   168
  1.838302e-01   1.754670e-02   0.000000e+00   1.390057e-03   72
  1.846872e-01   1.332428e-02   0.000000e+00   1.373212e-03   96
  1.853509e-01   9.629550e-03   2.117011e-04   6.607444e-04   216
  1.859653e-01   1.316395e-02   2.543132e-09   1.237435e-03   96
  1.868125e-01   1.467828e-02   0.000000e+00   1.138397e-03   192
  1.872347e-01   1.422213e-02   2.397687e-09   1.072992e-03   144
  1.880762e-01   1.010836e-02   0.000000e+00   1.252325e-03   48
  1.886588e-01   1.398222e-02   2.041047e-04   9.866513e-04   246
  1.894505e-01   1.408470e-02   1.881878e-04   1.030095e-03   168
  1.901637e-01   1.386472e-02   3.523866e-09   1.353089e-03   120
  1.905784e-01   1.351614e-02   0.000000e+00   9.913531e-04   240
  1.914053e-01   1.582436e-02   2.543132e-09   1.958818e-03   24
  1.920640e-01   1.186088e-02   2.014384e-04   6.307291e-04   360
  1.928845e-01   1.507080e-02   2.005812e-04   1.351005e-03   120
  1.934568e-01   1.591621e-02   0.000000e+00   1.321927e-03   144
  1.938645e-01   1.877848e-02   0.000000e+00   1.922807e-03   96
  1.950825e-01   1.361849e-02   0.000000e+00   1.308385e-03   144
  1.954868e-01   1.444455e-02   0.000000e+00   1.101894e-03   132
  1.960551e-01   1.253421e-02   1.979707e-04   9.686632e-04   176
  1.968799e-01   1.179535e-02   1.999105e-04   7.124669e-04   312
  1.978954e-01   1.081600e-02   0.000000e+00   1.076937e-03   96
  1.982940e-01   1.287488e-02   0.000000e+00   1.090862e-03   144
  1.989055e-01   1.308038e-02   1.979053e-04   7.090995e-04   312
  1.998804e-01   6.411253e-03   0.000000e+00   7.676520e-04   48
  2.002750e-01   1.398350e-02   2.543132e-09   1.024003e-03   192
  2.010619e-01   2.426762e-02   0.000000e+00   4.443432e-03   6
  2.015848e-01   1.253873e-02   1.845802e-04   8.451616e-04   288
  2.024316e-01   1.210856e-02   1.950210e-04   8.448525e-04   192
  2.030159e-01   1.351222e-02   4.521123e-09   8.682720e-04   216
  2.034045e-01   1.352652e-02   0.000000e+00   1.746899e-03   72
  2.043725e-01   1.209691e-02   1.931689e-04   8.354523e-04   192
  2.050154e-01   1.353038e-02   1.434383e-04   8.079647e-04   288
  2.057204e-01   1.265137e-02   0.000000e+00   2.785569e-03   24
  2.062650e-01   1.205087e-02   1.889681e-04   6.322355e-04   456
  2.072499e-01   1.630689e-02   0.000000e+00   2.412117e-03   48
  2.078585e-01   1.380359e-02   1.861260e-04   8.699894e-04   240
  2.085579e-01   1.195401e-02   1.881013e-04   6.948244e-04   216
  2.091461e-01   1.612222e-02   0.000000e+00   1.744283e-03   72
  2.095233e-01   1.700229e-02   6.498988e-09   1.323034e-03   168
  2.105882e-01   1.308339e-02   1.398129e-04   8.138634e-04   288
  2.111855e-01   1.485232e-02   1.849965e-04   1.298136e-03   168
  2.121448e-01   1.087325e-02   0.000000e+00   9.857106e-04   192
  2.125166e-01   1.155762e-02   2.397687e-09   1.050749e-03   144
  2.132584e-01   1.894139e-02   0.000000e+00   2.359648e-03   36
  2.138874e-01   1.377639e-02   1.689411e-04   7.594895e-04   342
  2.144889e-01   1.580798e-02   1.734820e-04   1.334657e-03   144
  2.152621e-01   1.363310e-02   1.819392e-04   8.533330e-04   384
  2.162000e-01   1.252579e-02   4.983500e-09   1.220298e-03   120
  2.166643e-01   1.688704e-02   1.622368e-04   1.128065e-03   264
  2.172929e-01   1.335749e-02   8.042088e-09   1.109062e-03   192
  2.178848e-01   1.071226e-02   1.748412e-04   9.667006e-04   152
  2.183802e-01   1.601948e-02   2.397687e-09   1.647734e-03   144
  2.194222e-01   1.260756e-02   1.131589e-04   9.930127e-04   216
  2.199045e-01   1.430284e-02   1.512105e-04   8.612868e-04   312
  2.207535e-01   1.416073e-02   1.752500e-04   9.188646e-04   240
